ward,suspension
1,13.13846153846154
2,3.3666666666666667
3,49.24666666666667
4,27.323076923076922
5,33.25
6,17.026666666666667
7,29.40909090909091
8,30.60666666666667
9,18.706666666666667
10,11.827272727272726
11,19.655555555555555
12,4.764285714285714
13,3.8600000000000003
14,7.441666666666666
15,18.472727272727273
16,15.018181818181818
17,25.4
18,13.59
19,14.220000000000002
20,22.21875
21,15.481818181818182
22,9.453333333333335
23,4.7
24,16.892307692307693
25,8.121428571428572
26,10.625
27,11.91764705882353
28,38.41111111111111
29,32.016666666666666
30,1.26
31,21.419999999999998
32,5.222222222222222
33,4.487500000000001
34,22.275
35,3.014285714285714
36,15.950000000000001
37,48.788888888888884
38,2.9714285714285715
39,5.2875
40,5.357142857142857
41,1.97
42,
43,3.4166666666666665
44,2.54
45,9.09
46,14.166666666666666
47,3.9444444444444446
48,9.3
49,13.86
50,2.783333333333333
